Institute,Course,Category,Mode,Level,Duration_Hours,Country,City,Certification_provided,Practice_Assignments,Doubt_Sessions,Internship_Provided,Placement_Assistance,rating,Recorded_videos,Trainer_Grade,Price
Edureka,Python,data science,Online,Beginner,20,india,,Yes,No,No,No,No,NA,Yes,High,16015
Edureka,reinforcement learning,data science,Online,Beginner,NA,india,,Yes,No,No,No,No,NA,Yes,High,6749
Edureka,Machine Learning,artificial intelligence,Online,Intermediate,30,india,,Yes,No,No,No,No,NA,Yes,High,17995
Edureka,Deep Learning,artificial intelligence,Online,Intermediate,30,india,,Yes,No,No,No,No,NA,Yes,High,17995
Edureka,NLP with python,artificial intelligence,Online,Intermediate,18,india,,Yes,No,No,No,No,NA,Yes,High,16015
Velocity,Data Science,python,Online,Intermediate,140,india,pune,Yes,Yes,Yes,No,Yes,4.6,Yes,Medium,44000
Velocity,Hadoop,,Online,Intermediate,40,india,pune,Yes,Yes,Yes,No,Yes,4.6,Yes,Medium,35000
Velocity,Software Testing,coding,Online,Beginner,120,india,pune,Yes,Yes,Yes,No,Yes,4.6,Yes,Medium,42000
Velocity,Software Development,coding,Online,Advance,160,india,pune,Yes,Yes,Yes,No,Yes,4.6,Yes,High,46000
newsion,Software Testing,manual testing,Online,Beginner,40,india,pune,Yes,Yes,Yes,No,No,3.8,Yes,Medium,25000
fabtech,Software Development,coding,Offline,Advance,150,india,pune,Yes,Yes,Yes,No,Yes,4.8,No,Medium,72000
Qspiders,Software Testing,coding,Offline,Intermediate,120,india,pune,Yes,Yes,Yes,No,Yes,4.5,No,Medium,36000
Qspiders,Software Development,coding,Offline,Intermediate,140,india,pune,Yes,Yes,Yes,No,Yes,4.5,No,Medium,45000
Velocity,Tableau,anlytics,Online,Intermediate,30,india,pune,Yes,Yes,Yes,No,No,4,Yes,Medium,35000
Diksha,Catia 3Dmax and Creo,designing,Online,Advance,180,india,pune,Yes,Yes,Yes,No,Yes,4.3,No,High,80000
rahitech,networking,IT,Online,Beginner,50,india,pune,Yes,Yes,Yes,No,Yes,3.5,Yes,Low,50000
Diksha,Autocad Catia and Ansys,designing,Online,Advance,180,india,pune,Yes,Yes,Yes,No,Yes,4.3,No,High,80000
Diksha,Mastercam crio and 3Dmax,designing,Online,Advance,180,india,pune,Yes,Yes,Yes,No,Yes,4.3,No,High,80000
rahitech,Dot net developer,coding,Online,Intermediate,180,india,pune,Yes,Yes,Yes,No,Yes,3.8,Yes,Medium,60000
Diksha,Ansys catia and creo,designing,Online,Advance,180,india,pune,Yes,Yes,Yes,No,Yes,4.3,No,High,80000
